Polytechnic,Year,School,Course_name,Course_code,Course_description,reference,elr2b2_type,elr2b2,planned_intake
NP,2020,School of Humanities & Social Sciences,Diploma in Tamil Studies with Early Education,N95,"You will be exposed to a range of modules that will equip you with the needed skills and knowledge to work with children. Along with that, you will learn more about the rich Tamil culture while strengthening your abilities to communicate in Tamil effectively.",https://www.np.edu.sg/hms/Pages/tse.aspx,ELR2B2-A,11 to 22,30
NP,2020,School of InfoComm Technology,Common ICT Programme,N98,"You will gain an introduction to the field of IT by understanding the roles, practices and career paths of IT professionals. You will also learn the fundamentals of programming and cyber security, as well as an overview of enterprise information systems that use data analytics for decision making.",https://www.np.edu.sg/ict/Pages/cictp.aspx,ELR2B2-C,5 to 11,100
NP,2020,School of InfoComm Technology,Diploma in Cybersecurity & Digital Forensics,N94,"You will build a strong foundation in basic IT and security and develop skills in the areas of network security, software security and digital forensics in your second year. You will set up secure web servers, develop secure software applications, investigate cybercrimes, perform penetration tests on software, systems and networks, conducting in-depth forensic investigations on digital devices and networks, and analysing malicious software or malware and work on information security projects in our cutting-edge CSF labs in your final year.",https://www.np.edu.sg/ict/Pages/csf.aspx,ELR2B2-C,4 to 8,50
NP,2020,School of InfoComm Technology,Diploma in Financial Informatics,N81,"You will receive a strong foundation of IT knowledge, focusing on coding, databases, computer operating systems and networks as well as Accounting.  You will start building your digital portfolio in your first year, continue your portfolio in your second year and gain real-world experience through an internship in your third year.",https://www.np.edu.sg/ict/Pages/fi.aspx,ELR2B2-C,4 to 12,50
NP,2020,School of InfoComm Technology,Diploma in Immersive Media,N55,"You will receive a broad-based training in design and development of immersive  and interactive media content. Buliding a strong foundational training   through modules such as Applied Design, Interactive Development and Programming. You will learn how to create compelling interactive media content and applications with great user-experience .",https://www.np.edu.sg/ict/Pages/im.aspx,ELR2B2-C,7 to 13,50
NP,2020,School of InfoComm Technology,Diploma in Information Technology,N54,"You will focus on core computing skills in programming, networking, databases, enterprise information systems but can start investigating IT-related topics and developing your digital portfolio in your first year. In your second and third year, you are free to choose from a myriad of electives that suit your interests and passion. In your final year, you will pursue a six-month local or overseas internship, launch your own IT business ideas at our technology hubs or work on a capstone project which will beef up your digital portfolio.",https://www.np.edu.sg/ict/Pages/it.aspx,ELR2B2-C,5 to 12,85
NP,2020,School of Life Sciences & Chemical Technology,Diploma in Biomedical Science,N59,"In year 1, you get to study a range of subjects such as Anatomy & Physiology, Cell Biology & Genetics, Biostatistics, Chemistry and Microbiology whereas in year 2, you are expected to choose one of our two specialisation options which will further build up your knowledge and skills in biomedical sciences. In the final year, students take on Capstone Projects and internships with local or overseas research institutes and healthcare organisations.",https://www.np.edu.sg/lsct/Pages/bms.aspx,ELR2B2-C,3 to 8,90
NP,2020,School of Life Sciences & Chemical Technology,Diploma in Chemical & Biomolecular Engineering,N56,"You get to study a broad range of modules covering chemical processing, biopharmaceutical technology, environment science, engineering and life sciences.",https://www.np.edu.sg/lsct/Pages/cbe.aspx,ELR2B2-C,4 to 11,80
NP,2020,School of Life Sciences & Chemical Technology,Diploma in Environmental & Water Technology,N74,You get to learn about sustainable technologies and solutions for management and mitigation of environmental issues. You will also acquire the skills and knowledge on management and communication of environmental and workplace safety & health issues.,https://www.np.edu.sg/lsct/Pages/ewt.aspx,ELR2B2-C,10 to 14,45
NP,2020,School of Life Sciences & Chemical Technology,Diploma in Landscape Design & Horticulture,N57,"You will develop skills in landscape design, project management and park management. You will study various subjects including plant anatomy, biochemistry, plant pathology, and propagation of plants.",https://www.np.edu.sg/lsct/Pages/ldh.aspx,ELR2B2-D,7 to 15,45
NP,2020,School of Life Sciences & Chemical Technology,Diploma in Pharmaceutical Science,N73,"You will be equipped with the skills and knowledge in pharmaceutical sciences, including drug manufacturing and pharmacology. The course's broad-based training includes an internship and the unique Pharmacy Training Programme, designed to engage you in learning directly from working professionals.",https://www.np.edu.sg/lsct/Pages/pharm.aspx,ELR2B2-C,3 to 9,45
NYP,2019,SCHOOL OF BUSINESS MANAGEMENT,COMMON BUSINESS PROGRAMME,C34,,https://www.nyp.edu.sg/schools/sbm.html,,7 to 17,251
NYP,2019,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,C35,,https://www.nyp.edu.sg/schools/sit.html,,7 to 15,97
NYP,2019,SCHOOL OF INFORMATION TECHNOLOGY,COMMON ICT PROGRAMME,C36,,https://www.nyp.edu.sg/schools/sit.html,,7 to 17,150
NYP,2019,SCHOOL OF DESIGN,DIPLOMA IN ARCHITECTURE,C38,,https://www.nyp.edu.sg/schools/sdn.html,,10 to 17,60
